,Date,Adilabad_Temp,Adilabad_Upper_Limit,Adilabad_Lower_Limit,Adilabad_HeatWave,Karimnagar_Temp,Karimnagar_Upper_Limit,Karimnagar_Lower_Limit,Karimnagar_HeatWave,Khammam_Temp,Khammam_Upper_Limit,Khammam_Lower_Limit,Khammam_HeatWave,Nizamabad_Temp,Nizamabad_Upper_Limit,Nizamabad_Lower_Limit,Nizamabad_HeatWave,Warangal_Temp,Warangal_Upper_Limit,Warangal_Lower_Limit,Warangal_HeatWave
292,19-07-2023,32.996105,36.32613253,29.66607786,1,35.034275,37.53082662,32.53772349,1,36.102962,38.41906487,33.78686011,1,32.239147,35.47761407,29.00068031,0,31.500427,40.13999957,22.86085492,2
293,20-07-2023,32.774654,36.10477792,29.44453085,0,34.281982,36.77860611,31.78535874,0,35.847607,38.16377595,33.53143737,1,31.783684,35.02224421,28.54512334,0,31.921913,40.56173507,23.28209123,2
294,21-07-2023,32.733246,36.06346644,29.40302526,0,34.27978,36.77647779,31.7830849,0,35.820637,38.13687354,33.50439996,1,31.636526,34.87518093,28.39787129,0,32.36309,41.00316423,23.7230168,2
295,22-07-2023,33.19109,36.52140812,29.86077114,1,34.47736,36.97412961,31.98058993,1,36.33717,38.65347453,34.02086477,1,30.910294,34.14904361,27.67154355,0,32.160892,40.80122019,23.52056478,2
296,23-07-2023,33.277813,36.60823019,29.94739572,1,34.63038,37.12722259,32.13353485,1,36.655655,38.97202847,34.33928134,1,30.504972,33.74381852,27.2661264,0,32.296745,40.9373292,23.6561614,2
297,24-07-2023,33.275986,36.60650255,29.94546889,1,34.852627,37.34954534,32.35570826,1,36.74052,39.05696331,34.42407764,1,30.515663,33.75460606,27.27672023,0,32.51587,41.15671144,23.87502684,2
298,25-07-2023,33.16602,36.49663671,29.83540217,1,34.39097,36.88796217,31.89397448,1,36.449196,38.76570856,34.13268317,1,30.82846,34.06750129,27.5894201,0,32.56557,41.20667372,23.92446794,2
299,26-07-2023,33.07552,36.40623813,29.744801,1,34.77101,37.26808114,32.27394157,1,36.463364,38.77994679,34.1467805,1,30.969627,34.20876649,27.73048827,0,32.431965,41.07333056,23.79059918,2
300,27-07-2023,32.820324,36.15114465,29.48950324,1,33.862034,36.3591802,31.36488749,0,36.388874,38.70552824,34.07221987,0,30.681908,33.92114609,27.44266922,0,32.477783,41.11941389,23.83615252,2
301,28-07-2023,32.81774,36.14866509,29.4868177,1,33.53906,36.03628226,31.04183512,0,36.468323,38.78504857,34.15159694,1,31.023882,34.26322051,27.78454332,0,32.559032,41.20093032,23.91713456,2
302,29-07-2023,32.782524,36.11355164,29.45149658,1,33.79659,36.29389031,31.29928748,0,36.49786,38.81465799,34.18106192,1,31.615631,34.85507068,28.37619153,0,32.5899,41.23206825,23.94773369,2
303,30-07-2023,32.80486,36.13599138,29.47372695,1,33.353218,35.85059798,30.85583818,0,36.11106,38.42793194,33.79419025,0,31.85894,35.09848151,28.61939874,0,32.44631,41.08874701,23.80386926,2
